United States:
    TH;71 (Yasothon, Thailand)
    TH;72 (Pattani, Thailand)
    TH;73 (Yala, Thailand)
    TH;74 (Kanchanaburi, Thailand)
    TH;75 (Narathiwat, Thailand)
    TH;76 (Suphan Buri, Thailand)
Australia:
    AU;1 (Australian Capital Territory, Australia)
    AU;2 (New South Wales, Australia)
    AU;3 (Northern Territory, Australia)
    AU;4 (Queensland, Australia)
    AU;5 (South Australia, Australia)
    AU;6 (Tasmania, Australia)
    AU;7 (Victoria, Australia)
    AU;8 (Western Australia, Australia)
United Kingdom:
    UK;1 (Aberdeenshire, United Kingdom)
    UK;2 (Angus, United Kingdom)
    UK;3 (Argyll, United Kingdom)
    UK;4 (Avon, United Kingdom)
    UK;5 (Ayrshire, United Kingdom)
    UK;6 (Banffshire, United Kingdom)
    UK;7 (Bedfordshire, United Kingdom)
    UK;8 (Berkshire, United Kingdom)
    UK;9 (Berwickshire, United Kingdom)
    UK;10 (Buckinghamshire, United Kingdom)
    UK;11 (Caithness, United Kingdom)
    UK;12 (Cambridgeshire, United Kingdom)
    UK;121 (Carmarthenshire, United Kingdom)
    UK;13 (Cheshire, United Kingdom)
    UK;14 (Clackmannanshire, United Kingdom)
    UK;15 (Cleveland, United Kingdom)
    UK;16 (Clwyd, United Kingdom)
    UK;17 (Cornwall, United Kingdom)
    UK;18 (County Antrim, United Kingdom)
    UK;19 (County Armagh, United Kingdom)
    UK;20 (County Down, United Kingdom)
    UK;21 (County Durham, United Kingdom)
    UK;22 (County Fermanagh, United Kingdom)
    UK;23 (County Londonderry, United Kingdom)
    UK;24 (County Tyrone, United Kingdom)
    UK;25 (Cumbria, United Kingdom)
    UK;26 (Derbyshire, United Kingdom)
    UK;27 (Devon, United Kingdom)
    UK;28 (Dorset, United Kingdom)
    UK;29 (Dumfriesshire, United Kingdom)
    UK;30 (Dunbartonshire, United Kingdom)
    UK;31 (Dyfed, United Kingdom)
    UK;32 (East Lothian, United Kingdom)
    UK;33 (East Sussex, United Kingdom)
    UK;34 (Essex, United Kingdom)
    UK;35 (Fife, United Kingdom)
    UK;36 (Gloucestershire, United Kingdom)
    UK;62 (Guernsey, United Kingdom)
    UK;37 (Gwent, United Kingdom)
    UK;38 (Gwynedd, United Kingdom)
    UK;39 (Hampshire, United Kingdom)
    UK;40 (Herefordshire, United Kingdom)
    UK;41 (Hertfordshire, United Kingdom)
    UK;42 (Inverness-Shire, United Kingdom)
    UK;43 (Isle Of Arran, United Kingdom)
    UK;44 (Isle Of Barra, United Kingdom)
    UK;45 (Isle Of Benbecula, United Kingdom)
    UK;46 (Isle Of Bute, United Kingdom)
    UK;47 (Isle Of Canna, United Kingdom)
    UK;48 (Isle Of Coll, United Kingdom)
    UK;49 (Isle Of Colonsay, United Kingdom)
    UK;50 (Isle Of Cumbrae, United Kingdom)
    UK;51 (Isle Of Eigg, United Kingdom)
    UK;52 (Isle Of Gigha, United Kingdom)
    UK;53 (Isle Of Harris, United Kingdom)
